,Attraction Name,Description,Category,Estimated Budget,Min_Budget,Max_Budget,Sentiment_Score,State
127,Nicco Park,Nicco Park is an amusement park in Kolkata known for its thrilling rides water attractions and lush greenery. It offers entertainment and fun-filled activities for families and thrill-seekers alike.,Amusement Park,INR 200-500 per person,200.0,500.0,0.8807,Bengal
128,Eden Gardens,Eden Gardens is a historic cricket stadium in Kolkata known for its iconic atmosphere and enthusiastic crowds. It has hosted numerous international cricket matches and is a must-visit for sports enthusiasts.,Sports Stadium,INR 100-200 per person,100.0,200.0,0.6808,Bengal
129,Fort William,Fort William is a colonial-era fort in Kolkata built during the British rule in India. It houses the Indian Army's Eastern Command headquarters and is not open to the public but its exterior and surrounding grounds are worth a visit for history buffs.,Historical Landmark,Free,0.0,0.0,0.3291,Bengal
130,Jaldapara National Park,Jaldapara National Park is a wildlife sanctuary in Alipurduar district known for its population of Indian one-horned rhinoceroses. Visitors can take elephant safaris and jeep tours to spot wildlife in their natural habitat.,Wildlife Sanctuary,INR 500-1000 per person,500.0,1000.0,0.3612,Bengal
131,Rabindra Sarobar,Rabindra Sarobar also known as Dhakuria Lake is a man-made lake and park in Kolkata. It offers opportunities for boating jogging and picnicking amidst serene surroundings making it a popular recreational spot for locals and tourists alike.,Park & Lake,Free,0.0,0.0,0.8126,Bengal
132,Belghoria Expressway,Belghoria Expressway is a scenic route in Kolkata known for its picturesque views of the Hooghly River and surrounding landscapes. It is popular among cyclists and joggers for its wide pathways and greenery along the riverbank.,Scenic Drive,Free,0.0,0.0,0.6597,Bengal
133,Nalban Boating Complex,Nalban Boating Complex is a recreational facility in Kolkata offering paddle boating and rowing experiences on a tranquil lake. Visitors can enjoy boating amidst lush greenery and serene surroundings making it an ideal spot for relaxation and leisure.,Boating & Picnic Spot,INR 50-100 per person,50.0,100.0,0.9217,Bengal
134,Kalighat Kali Temple,Kalighat Kali Temple is one of the oldest and most revered Hindu temples in Kolkata dedicated to Goddess Kali. It is believed to be one of the Shakti Peethas and attracts devotees and pilgrims from far and wide.,Religious Landmark,Free,0.0,0.0,0.8687,Bengal
135,St. Paul's Cathedral,St. Paul's Cathedral is a historic Anglican cathedral in Kolkata known for its Gothic architecture and majestic interiors. It is a symbol of Kolkata's colonial past and welcomes visitors for prayer meditation and guided tours.,Religious Landmark,Free,0.0,0.0,0.4019,Bengal
136,Birla Planetarium,Birla Planetarium is a popular attraction in Kolkata offering educational shows and exhibitions on astronomy and space science. Visitors can learn about the universe planets and celestial phenomena through immersive presentations.,Science Museum,INR 50-100 per person,50.0,100.0,0.7003,Bengal
137,Bishnupur Terracotta Temples,Bishnupur is famous for its terracotta temples built by the Malla kings during the 17th and 18th centuries. These temples are adorned with intricate terracotta carvings depicting mythological scenes and are a UNESCO World Heritage Site.,Historical Landmark,INR 100-200 per person,100.0,200.0,0.34,Bengal
138,Purulia Chhau Dance Festival,Purulia Chhau Dance Festival is an annual cultural event held in Purulia district showcasing the traditional Chhau dance form. It features vibrant performances music and rituals offering a glimpse into the region's rich cultural heritage.,Cultural Festival,Free,0.0,0.0,0.8807,Bengal
139,Bankura Horse Sculptures,Bankura is renowned for its terracotta horse sculptures crafted by local artisans. These sculptures depicting horses in various poses and designs are symbolic of the region's artistic tradition and are often used in rituals and festivals.,Cultural Art,Free,0.0,0.0,0.3612,Bengal
140,Jayanti Hills,Jayanti Hills is a scenic hill station in Alipurduar district offering breathtaking views of lush forests meandering rivers and diverse wildlife. Visitors can enjoy trekking birdwatching and nature walks amidst pristine surroundings.,Hill Station,INR 200-500 per person,200.0,500.0,0.7351,Bengal
141,Gorumara National Park,Gorumara National Park is a wildlife sanctuary in Jalpaiguri district known for its population of Indian rhinoceroses and Asian elephants. Visitors can take jeep safaris and nature walks to explore the park's diverse flora and fauna.,Wildlife Sanctuary,INR 500-1000 per person,500.0,1000.0,0.0,Bengal
142,Bakkhali Beach,Bakkhali Beach is a tranquil seaside destination in South 24 Parganas district known for its pristine beaches and scenic beauty. Visitors can relax on the sandy shores go for a swim,Beach,INR 200-500 per person,200.0,500.0,0.7845,Bengal
143,Sajnekhali Bird Sanctuary,Sajnekhali Bird Sanctuary is a haven for birdwatchers located in the heart of the Sundarbans. It is home to numerous bird species including kingfishers herons and egrets. Visitors can explore the sanctuary through boat tours and nature trails.,Wildlife Sanctuary,INR 200-500 per person,200.0,500.0,0.128,Bengal
144,Chandan Nagar Museum,Chandannagar Museum also known as the Dupleix Palace Museum is a historical museum in Chandannagar. It showcases artifacts documents and photographs depicting the region's French colonial heritage and cultural influences.,Museum,INR 50-100 per person,,,0.0,Bengal
145,Bishnupur Horse Carriage Ride,Bishnupur offers horse carriage rides allowing visitors to explore the town's historical sites and terracotta temples in a traditional and leisurely manner. It provides a unique way to experience the rich cultural heritage of Bishnupur.,Cultural Experience,INR 100-200 per person,100.0,200.0,0.5574,Bengal
146,Bhutia Basti,Bhutia Basti is a Tibetan settlement in Darjeeling known for its vibrant Tibetan culture and Buddhist monasteries. Visitors can explore the monasteries interact with monks and shop for traditional Tibetan handicrafts and souvenirs.,Cultural Settlement,Free,0.0,0.0,0.5267,Bengal
147,Chota Mangwa and Bara Mangwa,Chota Mangwa and Bara Mangwa are picturesque villages near Darjeeling offering panoramic views of the Himalayas and tea estates. Visitors can enjoy nature walks village tours and homestay experiences amidst tranquil surroundings.,Hill Station,free,0.0,0.0,0.7184,Bengal
148,Dhanyakuria,Dhanyakuria is a heritage village in North 24 Parganas district known for its colonial-era mansions and architecture. Visitors can explore the village on foot admiring the grandeur of the heritage buildings and learning about their history and significance.,Heritage Village,Free,0.0,0.0,0.7964,Bengal
149,Mirik Lake,Mirik Lake is a picturesque lake surrounded by lush forests and tea gardens in Darjeeling district. Visitors can enjoy boating on the lake stroll along its shores and admire the scenic beauty of the surrounding landscape.,Lake & Park,INR 100-200 per person,100.0,200.0,0.9136,Bengal
150,Darjeeling Ropeway,Darjeeling Ropeway also known as the Rangeet Valley Passenger Cable Car offers breathtaking views of Darjeeling town and the Himalayan peaks. Visitors can take a ride on the cable car and enjoy panoramic vistas of the surrounding mountains and valleys.,Scenic Ride,INR 100-200 per person,100.0,200.0,0.7351,Bengal
151,Malda Museum,Malda Museum also known as the Gour Museum is a historical museum in Malda district. It houses a collection of artifacts sculptures and inscriptions dating back to the ancient period offering insights into the region's rich history and culture.,Museum,INR 50-100 per person,50.0,100.0,0.5574,Bengal
152,Bishnupur Horse Show,Bishnupur hosts traditional horse shows showcasing the equestrian skills of local riders. Visitors can witness thrilling displays of horse riding stunts and performances set against the backdrop of historical monuments and temples.,Cultural Event,INR 100-200 per person,100.0,200.0,0.4767,Bengal
153,Malda Mango Festival,Malda Mango Festival is an annual event celebrating the region's famous mango varieties. Visitors can indulge in a variety of mango-based dishes desserts and beverages as well as participate in cultural performances and competitions.,Food Festival,Free entry,0.0,0.0,0.8402,Bengal
154,Sagar Island,Sagar Island also known as Gangasaga is a sacred island in South 24 Parganas district where the Ganges River meets the Bay of Bengal. It is a pilgrimage site for Hindus especially during the Makar Sankranti festival. Visitors can take a ferry ride to the island and visit the holy shrines.,Pilgrimage & Beach,INR 200-500 per person,200.0,500.0,0.4939,Bengal
155,Bakreshwar Temple,Bakreshwar Temple is a group of ancient temples dedicated to Lord Shiva located in Birbhum district. The temples are known for their architectural significance and religious importance. Visitors can explore the temple complex and attend religious ceremonies.,Religious Landmark,INR 50-100 per person,50.0,100.0,0.765,Bengal
156,Bhadreswar Ganges Riverfront,Bhadreswar Ganges Riverfront is a scenic promenade along the banks of the Hooghly River in Hooghly district. Visitors can enjoy leisurely walks boat rides and panoramic views of the river and surrounding landscapes.,Riverside Promenade,Free,0.0,0.0,0.4939,Bengal
157,Purulia Chhau Mask Making Workshop,Purulia offers workshops where visitors can learn the art of making Chhau masks traditional masks used in the Chhau dance form. Participants can try their hand at crafting masks under the guidance of skilled artisans and take home their creations as souvenirs.,Cultural Workshop,INR 100-200 per person,100.0,200.0,0.7003,Bengal
158,Bakreshwar Thermal Power Station,Bakreshwar Thermal Power Station is a major power generation facility located in Birbhum district. Visitors can take guided tours of the power plant to learn about the process of electricity generation and the importance of thermal power in the region's infrastructure.,Industrial Tour,Free,0.0,0.0,0.3612,Bengal
159,Jairambati,Jairambati is a pilgrimage site in Hooghly district associated with Sri Sarada Devi the spiritual consort of Sri Ramakrishna Paramahamsa. Visitors can visit the holy shrines including the Matri Mandir where Sri Sarada Devi lived and seek blessings.,Religious Pilgrimage,Free,0.0,0.0,0.5423,Bengal
160,Gangani,Gangani is a scenic canyon area in Purulia district known for its unique geological formations and serene surroundings. Visitors can explore the rocky landscape go for nature walks and enjoy picnics amidst the tranquil ambiance of the canyon.,Natural Canyon,Free,0.0,0.0,0.7506,Bengal
161,Kalyaneshwari Temple,Kalyaneshwari Temple is a renowned Hindu temple dedicated to Goddess Kali located in Asansol. It is believed to fulfill the wishes of devotees who visit the temple with pure hearts. Visitors can seek blessings and witness the temple's architectural splendor.,Religious Landmark,Free,0.0,0.0,0.9382,Bengal
162,Hazarduari Palace Museum,Hazarduari Palace Museum,Historical Landmark,INR 100-200 per person,100.0,200.0,0.0,Bengal
163,Mangal Pandey Park,Mangal Pandey Park is a historical park in Barrackpore named after Mangal Pandey a prominent figure in India's struggle for independence. It features a memorial dedicated to Mangal Pandey and offers a peaceful ambiance for visitors to relax and reflect.,Historical Park,Free,0.0,0.0,0.8442,Bengal
164,Khirai,Khirai is a serene village in West Midnapore district known for its tranquil ambiance and agricultural landscapes. Visitors can experience rural life interact with local communities and explore the village's natural beauty and cultural heritage.,Rural Retreat,Free,0.0,0.0,0.8591,Bengal
165,Kolkata Tram Museum,Kolkata Tram Museum is a museum dedicated to the history and heritage of Kolkata's iconic tram system. It showcases vintage trams photographs and memorabilia offering insights into the evolution of urban transportation in the city.,Transport Museum,INR 50-100 per person,50.0,100.0,0.4588,Bengal
166,Gosaba,Gosaba is a scenic island town in South 24 Parganas district situated in the heart of the Sundarbans. Visitors can explore the town's rustic charm visit local markets and embark on boat trips to explore the mangrove forests and wildlife sanctuaries.,INR 200-500 per person,free,0.0,0.0,0.4019,Bengal
167,Mahishadal Rajbari,Mahishadal Rajbari is a historic palace in Purba Medinipur district known for its architectural grandeur and cultural significance. Visitors can tour the palace admire its ornate interiors and learn about the region's royal heritage and traditions.,Historical Landmark,INR 50-100 per person,50.0,100.0,0.8225,Bengal
168,Achipur,Achipur is a riverside town in South 24 Parganas district known for its Chinese settlement and heritage. Visitors can explore the town's Chinese temples sample authentic Chinese cuisine and learn about the history and culture of the Chinese community in Bengal.,Cultural Heritage,Free,0.0,0.0,0.0,Bengal
